representacion_pais_descripcion;representacion_pais_iso;representacion_descripcion;representacion_circunscripcion;representacion_ciudad_descripcion;representacion_provincia_descripcion;representacion_direccion;representacion_email;representacion_pagina_web;representacion_horario_atencion;representacion_cuidad_codigo_tel;representacion_telefono;representacion_fax;representacion_telefax;;;;;
Holanda;NL;Consulado Honorario  de HOLANDA en Tres Arroyos;" Los Partidos de la Provincia de Buenos Aires de Tres Arroyos, Adolfo González Chávez, Benito Juárez, Cnel. Dorrego, Cnel Pingles, Cnel. Suárez, Gral. La Madrid, Laprida, Lobería, Necochea, San Cayetano, Tandil y Bahía Blanca; y las Provincias de La Pampa y Río Negro ";Tres Arroyos;Buenos Aires;San Lorenzo 159;tresarroyos@nlconsulate.com;;;2983;424-147;430-568;;;;;;
Holanda;NL;Embajada de HOLANDA;      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;"Edificio ""Porteño Plaza II"" Olga Cossettini 831 Piso 3º";bue@minbuza.nl;http://argentina.nlembajada.org;;11;4338-0050;4338-0060;;;;;;
Honduras;HN;Consulado Honorario  de HONDURAS en Córdoba;  ;Córdoba;Córdoba;;;;;351;;;;;;;;
Honduras;HN;Embajada de HONDURAS;              ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Santa Fé 936 Piso 6º;emb.hondurasar@gmail.com//emb.sc.hondurasar@gmail.com;www.embajadahonduras.com.ar;;11;5199-7078//5199-7079//5199-7080;;;;;;;
Honduras;HN;Sección Consular de HONDURAS en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Callao 1546 - Piso 2 Dto. A;emb.sc.hondurasar@gmail.com;;;11;4803-0077//4803-1769;4809-0030;;;;;;
Hungría;HU;Consulado Honorario  de HUNGRÍA en Rosario;  Provincias de Santa Fe y Entre Rios  ;Rosario;Santa Fe;Santiago 1266;rosadam@arnet.com.ar;;;341;421 49 88;;;;;;;
Hungría;HU;Consulado Honorario  de HUNGRÍA en San Carlos de Bariloche;  Provincias de Rio Negro y Neuquen  ;San Carlos de Bariloche;Rio Negro;Los Pumas 6141;hm.sisa@hotmail.com;;;2944;441-161;;;;;;;
Hungría;HU;Embajada de HUNGRÍA;          ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Plaza 1734;mission.bue@mfa.gov.hu//vledesma@mfa.gov.hu ;buenosaires.mfa.gov.hu;;11;4553-4646//4555-6867;4555-6859;;;;;;
Hungría;HU;Sección Consular de HUNGRÍA en Ciudad Autónoma de Buenos Aires;    Argentina, Bolivia, Ecuador, Paraguay, Uruguay ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Virrey del Pino 4045;consulate.bue@mfa.gov.hu;buenosaires.mfa.gov.hu;;11;4555-6862;;;;;;;
India;IN;Consulado General Honorario de INDIA en Córdoba; Provincias de Córodba, Jujuy, Salta, San Luis y Santiago del Estero. ;Córdoba;Córdoba;Ayacucho 597;;;;351;422-4997;;;;;;;
India;IN;Embajada de INDIA;  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Eduardo Madero 942 - P. 19;hoc.buenos@mea.gov.in;;;11;4393-4001//4393-4156;4393-4063;;;;;;
India;IN;Sección Consular de INDIA en Ciudad Autónoma de Buenos Aires;Todo el territorio de la República Argentina;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Córdoba 950 - Piso 4;polsec@indembarg.org.ar;http://www.indembarg.org.ar/indembarg;;11;4393-4001//4393-4156;4393-4063;;;;;;
Indonesia;ID;Embajada de INDONESIA;      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Mariscal Ramón Castilla 2901;emindo@indonesianembassy.org.ar;http://www.kemlu.go.id/buenosaires;;11;4807-2211//4807-2956//4807-3324;4802-4448;4805-3195;;;;;
Indonesia;ID;Sección Consular de INDONESIA en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Mariscal Ramón Castilla 2901;emindo@tournet.com.ar;http://www.indonesianembassy.org.ar/;;11;4807-2211//4807-2956//4807-3324;4802-4448;;;;;;
Irán;IR;Embajada de IRÁN;      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Figueroa Alcorta 3229;irenemb.bue@mfa.gov.ir;;;11;4802-1470//4802-4821;4805-4409;;;;;;
Irán;IR;Sección Consular de IRÁN en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Figueroa Alcorta 3229;embajada@fibertel.com.ar;;;11;4802-1470//4802-4821//4802-6360;4805-4409;;;;;;
Irlanda;IE;Embajada de IRLANDA;    ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. del Libertador 1068 Piso 6;buenosairesembassy@dfa.ie;www.embassyofireland.org.ar;;11;4808-5700;5787-0802;;;;;;
Irlanda;IE;Sección Consular de IRLANDA en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Suipacha 1380 - Piso 2;info@irlanda.org.ar;;;11;5787-0801;5787-0802;;;;;;
Islandia;IS;Consulado General Honorario de ISLANDIA en Martínez;Todo el territorio de la República Argentina;Martínez;Buenos Aires;Paraná 843;gorancinco@fibertel.com.ar;;;11;4793-1282;4793-1282;;;;;;
Israel;IL;Consulado Honorario  de ISRAEL en Cipoletti; Santa Cruz, Chubut, Neuquén y Río Negro;Cipoletti;Rio Negro;Roca 340 - 1° E;;;;2944;4772-566;;;;;;;
Israel;IL;Consulado Honorario  de ISRAEL en Córdoba;Provincia de Córdoba;Córdoba;Córdoba;Av. Vélez Sarsfield 84 - Piso 2 ;;;;351;421-6444;423-7475;;;;;;
Israel;IL;Consulado Honorario  de ISRAEL en Mendoza;Provincias de Mendoza y San Juan;Mendoza;Mendoza;Olascoaga 838;;;;261;424-2909;;;;;;;
Israel;IL;Embajada de ISRAEL;  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. de Mayo 701- Piso 10º;info@buenosaires.mfa.gov.il;http://buenosaires.mfa.gov.il;;11;3724-4500;3724-4624;;;;;;
Israel;IL;Sección Consular de ISRAEL en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. Mayo 701 - Piso 10;consulado@buenosaires.mfa.gov.il;http://www.israel-embassy.org.ar/;;11;4338-2515;4338-2624;;;;;;
Italia;IT;Agencia Consular de ITALIA en Lomas de Zamora;     Partidos de Lomas de Zamora, Almirante Brown, Esteban Echeverría, San Vicente, Lanús y Wilde     ;Lomas de Zamora;Buenos Aires;Av. Meeks 701//www.conslomasdezamora.esteri.it;segretaria.lomas@esteri.it;;;11;4292-7954;4292-7955;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en Carlos Casares;Partidos de 9 de Julio, Carlos Casares, Pehuajó, Hipólito Yrigoyen, Trenque Lauquen, Pellegrini, Salliqueló, Rivadavia y Carlos Tejedor;Carlos Casares;Buenos Aires;Lamadrid 61;;;;2395;451-044;451-044;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en Casilda;Departamento de Caseros;Casilda;Santa Fe;Mitre 1775;;;;3464;424-164//423-520;;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en Chivilcoy;Partidos de Chivilcoy, Alberti, Bragado, 25 de Mayo, Saladillo y Roque Perez;Chivilcoy;Buenos Aires;Av. Villarino 283;;;;2346;451-044;423-791;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en Concepción del Uruguay;Departamentos de Uruguay, Colón, Gualeguay y Gualeguaychú;Concepción del Uruguay;Entre Rios;Perú 5;;;;3442;424-619;424-488;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en Concordia;Departamentos de Federación, Concordia, Feliciano y La Paz;Concordia;Entre Rios;San Luis 284;;;;345;421-6746;;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en Dolores; Partidos de Dolores, General Guido, Tordillo, General Lavalle, Pila, Castelli, General Belgrano y Chascomús;Dolores;Buenos Aires;;;;;2245;;;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en Esquel;Los Departamentos de la Provincia de Chubut de: Cushamen, Futaleufú, Languiñeo y Tehuelches;Esquel;Chubut;Darwin 338;;;;2945;450-028;450-028;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en General Roca;Los Departamentos de la Provincia de Río Negro de: General Roca (excluídas las localidades de Villa Regina, Mainque, Huergo, Godoy, Chinchinales y Romero), Avellaneda, El Cuy, 9 de Julio y Pichi-Mahuida;General Roca;Rio Negro;Sarmiento 1742;;;;2941;423-596;;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en Junín;Partidos de Junín, Gral. Arenales, Leandro N. Alem, Chacabuco, General Viamonte, Lincoln, Gral. Pinto, Florentino Ameghino y Gral. Villegas;Junín;Buenos Aires;Av. San Martin 803;;;;2362;447-561;;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en Las Varillas;Ciudad de Las Varillas, zona central del Departamento de San Justo y parte del Departamento de Río Segundo;Las Varillas;Córdoba;Italia 354;;;;3533;421-085;423-800;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en Leones;Ciudad de Leones y los Departamentos de Marcos Juarez y Unión;Leones;Córdoba;;;;;3472;;481-281;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en Mercedes;Partidos de Mercedes, Cañuelas, Las Heras, Lobos, Navarro y Suipacha;Mercedes;Buenos Aires;Calle 33 N° 340;;;;2324;424-043;424-043;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en Moreno;Partidos de Moreno, Marcos Paz, Merlo, San Martín, General Rodriguez, San Andrés de Giles, Luján;Moreno;Buenos Aires;Chacabuco 352;;;;11;;;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en Morón;    Partidos de Morón y La Matanza.    ;Morón;Buenos Aires;República Oriental de Uruguay 129;moron.info@esteri.it;www.consmoron.esteri.it;;11;4489-4676//4629-9573//4489-1615;;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en Nogoyá;Departamentos de Nogoyá, Tala y Victoria;Nogoyá;Entre Rios;;;;;3435;421-480;422-994;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en Olavarría;Partidos de Bolívar, Gral. Lamadrid, Laprida, Olavarría, Azul y Tapalqué;Olavarría;Buenos Aires;Rivadavia 2695 10°;;;;2284;441-371;431-112;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en Pergamino; Pergamino, Arrecifes, Cármen de Areco, Capitán Sarmiento, Colón, Ranmallo, Rojas, Salto Y  Departamento de Villa Constitución  ;Pergamino;Buenos Aires;Vergara Campos 1291;;;;2477;424-609;423-069;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en Puerto Madryn;Los Departamentos de Gaimán, Mártires, Rawson, Gastre, Telsen, Viedma, Paso de los Indios y Florentino Ameghino;Puerto Madryn;Chubut;28 de Julio 129;;;;2965;471-318;;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en Rafaela;Departamentos de Castellanos, 9 de Julio y San Cristóbal;Rafaela;Santa Fe;9 de Julio 895;;;;3492;42-8670;;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en Río Cuarto; Departamentos de Río Cuarto, Juarez Celman, General Roca y Presidente Roque Saenz Peña ;Río Cuarto;Córdoba;Colón 243;;;;358;;;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en Rufino;Departamentos de Rufino y parte sur de General López;Rufino;Santa Fe;Salta 324;;;;3382;427-768;427-008;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en San Francisco; Ciudad de San Francisco y parte del Departamento de San Justo ;San Francisco;Córdoba;Iturraspe 1713 San Francisco Córdoba;;;;3564;443-200;;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en San Jorge;Departamento de San Martín;San Jorge;Santa Fe;Rivadavia 1343;;;;3406;440-977;440-977;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en San Miguel;Partidos de Gral. Sarmiento, Pilar, Exaltación de la Cruz, General Rodriguez, Exaltación de la Cruz;San Miguel;Buenos Aires;Italia 1334;;;;11;4664-6094;;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en Tandil;        Partidos de Juarez, Rauch, Tandil        ;Tandil;Buenos Aires;San Martín 190 Tandil;;;;249;4436492;;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en Tres Arroyos;Los Partidos de la Provincia de Buenos Aires de: Tres Arroyos y Adolfo Gonzalez Chavez;Tres Arroyos;Buenos Aires;Lavalle 556;;;;2983;429-575;;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en Ushuaia;La Provincia de Tierra del Fuego y Territorio de la Antártida e Islas del Atlántico Sur;Ushuaia;Tierra del Fuego, Antártida e Islas del Atlántico Sur;Las Aguilas 1475;;;;2901;443-508;443-508;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en Venado Tuerto;Departamentos de Venado Tuerto y parte norte de General López, Elortondo, San Urbano, Firmat, Berabev, Maggiolo, La crispa;Venado Tuerto;Santa Fe;Belgrano 147;;;;3462;437-990;432-992 (locutorio);;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en Villa Constitución;Departamento de Villa Constitución;Villa Constitución;Santa Fe;Moreno 1250;;;;3400;473-322;474-294;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en Villa María; Ciudad de Villa María, capital del departamento de San Martín ;Villa María;Córdoba;Salta N° 1481;;;;353;453-7306;;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en Villa Mercedes;Local;Villa Mercedes;San Luis;;;;;2657;;;;;;;;
Italia;IT;Agencia Consular Honoraria de ITALIA en Villa Regina;Las localidades de Villa Regina, Mainqué, Ing. Huergo, Chinchinales e Ing. Romero;Villa Regina;Rio Negro;Av. Rivadavia 117 1er Piso;;;;2941;463-456;;;;;;;
Italia;IT;Consulado de ITALIA en Mar del Plata;  LOS PARTIDOS DE GENERAL PUEYRREDON, GENERAL ALVARADO, GENERAL MADARIAGA, MAR CHIQUITA, AYACUCHO, BALCARCE, Y DE LA COSTA, TANDIL, RAUCH, JUÁREZ, MAIPÚ, NECOCHEA, LOBERIA, SAN CAYETANO.  ;Mar del Plata;Buenos Aires;Falucho 1416;segretaria.mardelplata@esteri.it;www.consmardelplata.esteri.it;;223;451-7703;451-8623;;;;;;
Italia;IT;Consulado de ITALIA en Mendoza;"  Provincias de Mendoza, San Luis y San Juan; y los Departamentos de San Carlos, Tunuyán y La Consulta. Administra sobre los Viceconsulados Honorarios en San Juan, San Luis y San Rafael; y sobre las Agencias Consulares Honorarias en  Villa Mercedes  ";Mendoza;Mendoza;Necochea 712//www.consmendoza.esteri.it;consolato.mendoza@esteri.it;;;261;520-1400;420-1401;;;;;;
Italia;IT;Consulado General de ITALIA en Bahía Blanca;" Provincias: Neuquén, Santa Cruz, Tierra del Fuego, Antartida e Islas del Atlantico Sur.<br>Partidos de Adolfo Alsina, Bahía Blanca, Cnel. Dorrego, Cnel. Pringles, Cnel. Rosales, Cnel. Suarez, Daireaux, Gonzalez Chavez, Guaminí, Patagones, Puán, Saavedra, Tornquist, Tres Arroyos y Villamarino; y las Provicnias de Chubut, La Pampa, Neuquén<br>";;;;;;;;;;;;;;;
\;;;;;;;;;;;;;;;;;;
Administra a los Viceconsulados Honorarios en: Comodoro Rivadavia, Neuquen, San Carlos de Bariloche y Viedma, y a las Agencias Consulares Honorarias en Puerto Madryn, Esquel, Santa Rosa, Tres Arroyos, Villa Regina ;Bahía Blanca;Buenos Aires;Av. Alem 309;consbahiablanca@esteri.it;www.consbahiablanca.esteri.it;;291;4545-140//4544-731;;;;;;;;;;
Italia;IT;Consulado General de ITALIA en Ciudad Autónoma de Buenos Aires;"  Capital Federal Administra sobre la Agencia Consular de Primera en Morón, los Viceconsulados Honorarios en Campana, San Isidro y San Martín; y las Agencias Consulares Honorarias en Moreno, Pergamino y San Miguel  ";Ciudad Autónoma de Buenos Aires;Buenos Aires;Reconquista 572;info.buenosaires@esteri.it;www.consbuenosaires.esteri.it;;11;4114-4800;4114-4799;;;;;;
Italia;IT;Consulado General de ITALIA en Córdoba;" Provincias de Córdoba, Catamarca, La Rioja, Salta, Santiago del Estero, Tucumán y Jujuy. <br>Administra sobre los Viceconsulados Honorarios en Catamarca, Jujuy, La Rioja, Salta, Santiago del Estero y Tucumán; y sobre las Agencias <br>Consulares Honorarias: Varillas, Leones, Rio Cuarto, San Francisco y Villa María. ";Córdoba;Córdoba;Av. Velez Sarfield 360;segretaria.cordoba@esteri.it;www.conscordoba.esteri.it;;351;526-1000//526-1010;526-1010;;;;;;
Italia;IT;Consulado General de ITALIA en La Plata; Partidos de La Plata, Berisso, Brandsen, Ensenada, Magdalena, Castelli, Chascomús, Dolores, Gral. Belgrano, Guido, Gral. Lavalle, Gral. Paz, Monte, Punta Indio y Tordillo ;La Plata;Buenos Aires;Calle 48 Nº 869;segretaria.laplata@esteri.it;www.conslaplata.esteri.it;;221;439-5500;;;;;;;
Italia;IT;Consulado General de ITALIA en Rosario;" Provincias de Santa Fe, Corrientes, Chaco, Entre Ríos (Paraná), Formosa y Misiones. <br>Administra sobre los Viceconsulados Honorarios en Corrientes, Formosa, Paraná, Posadas, Resistencia y Santa Fe; y sobre las Agencias Consulares Honorarias en Casilda, Concepción del Uruguay, Concordia, Nogoya, Pergamino, Rafaela, Rufino, San Jorge, Venado Tuerto, Villa Constitución. ";Rosario;Santa Fe;Montevideo 2182;segretaria.rosario@esteri.it;www.consirosario.esterit.it;;341;440-7020;520-1401;;;;;;
Italia;IT;Embajada de ITALIA;            ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Billinghurst 2577//O´Higgins N° 1529//M. T. de Alvear 1119 3° p.//Av del Libertador 1068 10° p.;Ambasciata.buenosaires@esteri.it;http://www.ambbuenosaires.esteri.it;;11;4011-2100//4787-2235//4807-1414//5252-6800 //4011-2161 ;4802-1926//4011-2149/59;;;;;;
Italia;IT;Viceconsulado Honorario de ITALIA en 3 de Febrero; 3 de Febrero ;3 de Febrero;Buenos Aires;;;;;11;;;;;;;;
Italia;IT;Viceconsulado Honorario de ITALIA en Campana; Partidos de Campana, Baradero, Escobar, San Antonio de Areco, San Pedro, Zárate. ;Campana;Buenos Aires;Lavalle 195;;;;3489;450-705;420-568//;;;;;;
Italia;IT;Viceconsulado Honorario de ITALIA en Catamarca; Provincia de Catamarca ;Catamarca;Catamarca;Mariano Moreno 556 San Fernando del Valle de Catamarca;;;;3833;443-2676;443-2699;;;;;;
Italia;IT;Viceconsulado Honorario de ITALIA en Corrientes; Provincia de Corrientes ;Corrientes;Corrientes;Bolívar 1839;;;;379;443-8051;463-326;;;;;;
Italia;IT;Viceconsulado Honorario de ITALIA en Formosa;  Provincia de Formosa ;Formosa;Formosa;Av. 25 de Mayo 353;;;;370;442-7561//452-833;452-880;;;;;;
Italia;IT;Viceconsulado Honorario de ITALIA en La Rioja;Provincia de La Rioja;La Rioja;La Rioja;Av. Presidente Perón 739;;;;3822;425-416;;;;;;;
Italia;IT;Viceconsulado Honorario de ITALIA en Necochea;  Los Partidos de la Provincia de Buenos Aires de: Necoche, Lobería y San Cayetano  ;Necochea;Buenos Aires;Calle 50 Nº 3197;;;;2262;528-373;15314073;;;;;;
Italia;IT;Viceconsulado Honorario de ITALIA en Neuquén; Los Departamentos de la Prov. de Neuquén de: Alumin´r, Añeló, Catan-Lil, Confluencia, Chos Malal, Loncopué, Minas, Ñorquín, Pehuenches, Picunches y Picún Leufú, Ciudad de Zapala y la zona comprendida entre las localidades de San Martín y Junín de los Ande ;Neuquén;Neuquen;El Ceibo 442 (Alta Barda);;;;299;425-215;;;;;;;
Italia;IT;Viceconsulado Honorario de ITALIA en Paraná; Los departamentos de Paraná, Diamante, Villaguay y San José de Feliciano ;Paraná;Entre Rios;San Martín 535;;;;343;4310-489;;;;;;;
Italia;IT;Viceconsulado Honorario de ITALIA en Posadas; Provincia de Misiones ;Posadas;Misiones;Santa Fé 2470;;;;3752;443-2652;;;;;;;
Italia;IT;Viceconsulado Honorario de ITALIA en Quilmes; Partidos de Berazategui, Quilmes, Florencio Varela, Chivilcoy, Mercedes, Olavarria, Carlos Casares y Junín ;Quilmes;Buenos Aires;Av. Mosconi 4189;;;;11;;;4200-7271;;;;;
Italia;IT;Viceconsulado Honorario de ITALIA en Resistencia; Provincia de Chaco ;Resistencia;Chaco;Julio Argentino Roca 1799;;;;362;4465-432;430-470;;;;;;
Italia;IT;Viceconsulado Honorario de ITALIA en Salta;Provincia de Salta;Salta;Salta;Santiago del Estero 497;;;;387;432-1532;;;;;;;
Italia;IT;Viceconsulado Honorario de ITALIA en San Carlos de Bariloche; Los Departamentos de la Provincia de Neuquén de: Collón Curá, Huiliches, Lacar, Los Lagos, San Martín de los Andes y de la Provincia de Río Negro de: Bariloche, Ñorquinco, Pilcaniyeu y 25 de Mayo ;San Carlos de Bariloche;Rio Negro;Bartolomé Mitre 265 1er. piso Of. C;;;;2944;443-2501;422-247;;;;;;
Italia;IT;Viceconsulado Honorario de ITALIA en San Isidro; Partidos de San Fernando, Tigre, San Isidro, Islas del Delta. ;San Isidro;Buenos Aires;Obispo Terrero 95;;;;11;4742-7725;4743-5776;;;;;;
Italia;IT;Viceconsulado Honorario de ITALIA en San Juan;Provincia de San Juan;San Juan;San Juan;Av. José de la Roza 2174, Oeste;;;;264;423-8306;423-4857;;;;;;
Italia;IT;Viceconsulado Honorario de ITALIA en San Luis; Provincia de San Luis ;San Luis;San Luis;Chacabuco 917 ( Ed. UNSL Of. INADI) ;;;;2652;442-8803;422-869;;;;;;
Italia;IT;Viceconsulado Honorario de ITALIA en San Martín (BA);Partido de San Martín;San Martín (BA);Buenos Aires;Carlos Pellegrini 2026 - Piso 1º;;;;11;4755-0459;;;;;;;
Italia;IT;Viceconsulado Honorario de ITALIA en San Miguel de Tucumán;Provincia de Tucumán;San Miguel de Tucumán;Tucuman;24 de Septiembre 1021;;;;381;422-3830;431-0426;;;;;;
Italia;IT;Viceconsulado Honorario de ITALIA en San Rafael; Departamentos de San Rafael y Malargüe ;San Rafael;Mendoza;Montecaseros 1616;;;;2627;420-373 int 121;430-131;;;;;;
Italia;IT;Viceconsulado Honorario de ITALIA en San Salvador de Jujuy; Provincia de Jujuy ;San Salvador de Jujuy;Jujuy;Av. J. M. Fascio 1050;;;;388;423-6272//4236-272;;;;;;;
Italia;IT;Viceconsulado Honorario de ITALIA en Santa Fe; Los Departamentos de la Capital. San Javier, Garay, San Justo, Las Colonias, San Jerónimo, General Obligado y Vera ;Santa Fe;Santa Fe;San Martín 2244 - Piso 1º Of. 4;;;;342;454-0919;455-3324;;;;;;
Italia;IT;Viceconsulado Honorario de ITALIA en Santa Rosa;Los Departamentos de la Provincia de La Pampa de: Capital, Atreucó, Caleu-Caleu, Catriló, Conhello, Cure-Có, Cuatraché, Hucal, Leventué, Limay Mahuida, Puelén y Toay;Santa Rosa;La Pampa;Pellegrini 444;;;;2954;428-826;;;;;;;
Italia;IT;Viceconsulado Honorario de ITALIA en Santiago del Estero; Provincia de Santiago del Estero ;Santiago del Estero;Santiago del Estero;Guemes 190 esq. Misiones;;;;385;425-8837;;4222-070;;;;;
Italia;IT;Viceconsulado Honorario de ITALIA en Viedma;  Los Departamentos de la Provincia de Río Negro de: Adolfo Alsina, Conesa, San Antonio y Valcheta , y la localidad de Carmen de Patagones ;Viedma;Rio Negro;Gallardo 17;;;;2920;421-175;;423-328;;;;;
Jamaica;JM;Consulado Honorario  de JAMAICA en San Isidro;Todo el territorio de la República Argentina;San Isidro;Buenos Aires;Bermejo 1250;;;;11;4719-7448;;;;;;;
Japón;JP;Consulado General Honorario de JAPÓN en Córdoba; Provincia de Córdoba ;Córdoba;Córdoba;Derqui 353 1er piso Córdoba;;;;351;;;46-05091;;;;;
Japón;JP;Embajada de JAPÓN;  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Bouchard 547- Piso 17;taishikan@japan.org.ar;http://www.ar.emb-japan.go.jp/;;11;4318-8200;4318-8210;;;;;;
Japón;JP;Sección Consular de JAPÓN en Ciudad Autónoma de Buenos Aires;Todo el territorio de la República Argentina;Ciudad Autónoma de Buenos Aires;Buenos Aires;Bouchard 547 - Piso 17;;;;11;4318-8200;4318-8210;;;;;;
Jordania;JO;Consulado Honorario  de JORDANIA en Ciudad Autónoma de Buenos Aires;   Todo el territorio de la República Argentina   ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Viamonte 640 Piso 10º C.A.B.A.;consuladojordaniaargentina@gmail.com;;;11;4325-4691;;;;;;;
Kuwait;KW;Embajada de KUWAIT;    ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Uruguay 739;info@embajadadekuwait.com.ar;http://www.embajadadekuwait.com.ar;;11;4374-7202;4374-0489;;;;;;
Letonia;LV;Consulado Honorario  de LETONIA en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;;;;;11;;;;;;;;
Líbano;LB;Consulado Honorario  de LÍBANO en Córdoba;  ;Córdoba;Córdoba;Ituzaingo 167 5º Of. 3 Córdoba;;;;351;423 -1702;;;;;;;
Líbano;LB;Embajada de LÍBANO;        ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av.del Libertador 2354;embajada1@ellibano.com.ar//secretaria@ellibano.com.ar;http://www.ellibano.com.ar/;;11;4802-0466//4802-4492;4802-2909;;;;;;
Líbano;LB;Sección Consular de LÍBANO en Ciudad Autónoma de Buenos Aires;Todo el territorio de la República Argentina;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. del Libertador 2354;;;;11;4802-0466;4802-2909;;;;;;
Liberia;LR;Consulado General Honorario de LIBERIA en Ciudad Autónoma de Buenos Aires;    Todo el territorio de la República Argentina    ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Av. del Libertador 6430 - Piso 7º - Dto. 2 - Nuñez - Ciudad Autónoma de Buenos Aires  ;congenlb@gmail.com//congenlb@fibertel.com.ar;;;11;1544038559;1531438212;;;;;;
Libia;LY;Embajada de LIBIA;      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Virrey del Pino 3432;embajada@embajadadelibia.com.ar;;;11;4553-4669/2321/2308/2298;4551-6187;;;;;;
Libia;LY;Sección Consular de LIBIA en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;3 de Febrero 1358/62;;;;11;4788-3745//4788-3760;4784-9895;;;;;;
Liga de Los Estados Árabes;LE;Embajada de LIGA DE LOS ESTADOS ÁRABES;   Todo el territorio de la República   ;Ciudad Autónoma de Buenos Aires;Buenos Aires;La Pampa 3124;ligarabeargentina@yahoo.com.ar;;;11;4554-0456;4551-4543;;;;;;
Luxemburgo;LU;Embajada de LUXEMBURGO;  ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Las áreas económicas, comercial y consular están a cargo de la Embajada del Reino de Bélgica.;;;;11;;;;;;;;
Malasia;MY;Embajada de MALASIA;      ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Villanueva 1040;mwbuenosaires@kln.gov.my;www.kln.gov.my/perwakilan/buenosaires;;11;4776-0504//4776-2553//4777-8420;4776-0604;;;;;;
Malasia;MY;Sección Consular de MALASIA en Ciudad Autónoma de Buenos Aires; Todo el territorio de la República Argentina ;Ciudad Autónoma de Buenos Aires;Buenos Aires;Villanueva 1040;mwbaires@ciudad.com.ar;;;11;4776-0504//4776-2553//4777-8420;4776-0604;;;;;;
